maelist
223.674
230.056304985
256.847936944
209.791351221
195.453017059
190.723161132
194.907481769
189.66863285
185.358005938
185.462613047
186.470117823
184.310714939
178.767992995
174.57285248
176.876455838
176.613414683
176.46290397
180.205525536
183.481547459
188.867311484
179.71273087
176.986843899
177.355623309
177.383608376
177.771396993
178.071420466
177.074647201
172.742821648
172.342414139
178.665492634
178.760418727
175.339496478
171.6068481
172.732412418
174.527432844
175.43338175
176.941303575
174.563164552
178.554969346
183.144226656
183.643478046
182.148055369
181.798144411
180.470342497
179.790964169
164.671132882
164.54706345
165.489658425
166.118481382
165.991164753
165.003672551
164.900008709
164.730215067
168.809864983
167.487516683
164.139557757
163.556912072
165.431922905
165.239313002
164.754732627
165.177528375
164.825791141
163.007045829
162.420757105
162.042916211
162.258826907
161.684152497
159.504878367
158.725732138
158.082214977
160.293564791
157.200553288
156.9667303
157.401711985
159.934110028
156.711530485
157.554441372
157.163443969
157.069449074
157.351271521
158.162789575
158.020198055
157.870691604
159.872774234
160.394016663
160.132212589
158.941533581
158.337067649
157.009470474
155.210094465
154.98136869
156.185594066
156.534127732
156.847657035
158.179622231
156.696134985
156.332566086
156.574970084
155.232376144
155.226362102
155.171435755
155.148237018
155.449944159
156.316203122
155.638130514
155.467987862
155.790421391
155.877194212
156.347725257
157.028684655
156.058534261
156.258063689
155.774361704
155.15452673
154.623777318
155.131418245
155.80112117
155.529364984
155.450457368
155.962545137
155.747091147
154.10312427
154.185327361
154.152996693
154.397706515
155.455766865
155.061877209
154.558144223
154.795009371
155.569551507
156.131475772
156.258300175
156.159946846
156.549876097
156.260582118
156.429681296
158.087407354
157.165270521
156.893620895
157.052478753
157.177792937
157.178913815
157.074915565
156.37220306
156.394832984
156.380622508
156.166124868
156.957028256
156.964219697
155.985093919
155.504881646
155.750662756
155.347920608
154.480337679
150.841040106
152.054756625
151.754787211
149.524251557
148.778985445
148.68501126
148.335858034
146.323986628
146.145644036
147.547692219
147.489104351
149.167863965
148.036402239
147.783245147
146.355848451
145.52338055
145.790048209
144.947288287
144.425682035
144.698195325
144.171341046
143.694050441
143.364491812
143.297440724
143.597763526
143.824256105
143.624141904
